"name","region","income","lifeExp"
"Afghanistan","asia",1740,58
"Albania","europe",11400,77.7
"Algeria","africa",14000,77.4
"Andorra","europe",48200,82.5
"Angola","africa",6030,64.7
"Antigua and Barbuda","americas",20800,77.3
"Argentina","americas",18500,76.7
"Armenia","europe",8170,75.7
"Australia","asia",44400,82.5
"Austria","europe",44100,81.5
"Azerbaijan","europe",16000,72.1
"Bahamas","americas",21500,73.8
"Bahrain","asia",44600,76.9
"Bangladesh","asia",3320,72.8
"Barbados","americas",15600,76.5
"Belarus","europe",16700,73.5
"Belgium","europe",41900,80.9
"Belize","americas",7830,72
"Benin","africa",2010,64.4
"Bhutan","asia",8110,74.1
"Bolivia","americas",6710,73.3
"Bosnia and Herzegovina","europe",11200,77.6
"Botswana","africa",15500,65.5
"Brazil","americas",14000,75.3
"Brunei","asia",71800,77
"Bulgaria","europe",17700,75.1
"Burkina Faso","africa",1600,60.8
"Burundi","africa",721,60.4
"Cambodia","asia",3460,68.7
"Cameroon","africa",3050,60.2
"Canada","americas",43100,81.8
"Cape Verde","africa",6080,73.7
"Central African Republic","africa",648,50.3
"Chad","africa",1850,59.8
"Chile","americas",22700,80.2
"China","asia",14400,76.6
"Colombia","americas",13100,78.2
"Comoros","africa",1410,67.6
"Congo, Dem. Rep.","africa",742,61.6
"Congo, Rep.","africa",5300,63
"Costa Rica","americas",15400,81
"Cote d'Ivoire","africa",3450,60
"Croatia","europe",21400,77.3
"Cuba","americas",20000,79
"Cyprus","europe",31200,80.5
"Czech Republic","europe",31100,79.1
"Denmark","europe",45700,80.8
"Djibouti","africa",3270,66.7
"Dominica","americas",10200,73
"Dominican Republic","americas",14100,75.7
"Ecuador","americas",10500,77.9
"Egypt","africa",10300,72.2
"El Salvador","americas",7990,75.3
"Equatorial Guinea","africa",23700,65.5
"Eritrea","africa",1240,63.7
"Estonia","europe",27700,77.4
"Ethiopia","africa",1610,65.6
"Fiji","asia",8860,65.5
"Finland","europe",39400,81.7
"France","europe",38100,82.3
"Gabon","africa",16800,66.6
"Gambia","africa",1570,67.3
"Georgia","europe",9270,74
"Germany","europe",44100,80.9
"Ghana","africa",3980,66
"Greece","europe",24300,81
"Grenada","americas",12900,71.6
"Guatemala","americas",7370,72.7
"Guinea","africa",1220,60.7
"Guinea-Bissau","africa",1470,58.8
"Guyana","americas",7250,67.9
"Haiti","americas",1650,64
